YrEPCashSysBLPLSE,Year,Yr,YrsInOrg,Entry Point,EP,Block,BL,System,Sys, Plot,Location,PLLoc,SpringCoverCrop,CashCrop,CC,FallCoverCrop,TillageTreatment,CurrentTillage,Num_SoilDisturb,Num_SoilAboveDisturb,Num_DaysSinceLastDisturb_Placement,Num_DaysSinceLastDisturb_Collection,Num_DaysSincePlant_Placement,Num_DaysSincePlant_Collection,Total_NumofDisturb,SDR,CurrentCrop ,Num_SampleEvents,SentSample event,SE_Timing,Placement_Date,Collection_Date, Plot,Location,Intact,Chewed,Eaten,Missing,Total
Yr1EP1SoybeanSys1BL1PL111-1Post Plant,2021,Yr1,8,1,EP1,1,BL1,1,Sys1,111,1,PL111-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,9,2,5,6,27,28,11,149,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,111,1,6,4,0,0,10
Yr1EP1SoybeanSys1BL2PL211-1Post Plant,2021,Yr1,8,1,EP1,2,BL2,1,Sys1,211,1,PL211-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,9,2,5,6,27,28,11,149,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,211,1,8,1,1,0,10
Yr1EP1SoybeanSys1BL3PL334-1Post Plant,2021,Yr1,8,1,EP1,3,BL3,1,Sys1,334,1,PL334-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,10,2,5,6,27,28,12,149,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,334,1,9,1,0,0,10
Yr1EP1SoybeanSys1BL4PL424-1Post Plant,2021,Yr1,8,1,EP1,4,BL4,1,Sys1,424,1,PL424-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,10,2,5,6,27,28,12,149,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,424,1,3,5,2,0,10
Yr1EP1SoybeanSys2BL1PL112-1Post Plant,2021,Yr1,8,1,EP1,1,BL1,2,Sys2,112,1,PL112-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,9,2,5,6,27,28,11,150,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,112,1,9,1,0,0,10
Yr1EP1SoybeanSys2BL2PL212-1Post Plant,2021,Yr1,8,1,EP1,2,BL2,2,Sys2,212,1,PL212-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,9,2,5,6,27,28,11,150,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,212,1,5,5,0,0,10
Yr1EP1SoybeanSys2BL3PL333-1Post Plant,2021,Yr1,8,1,EP1,3,BL3,2,Sys2,333,1,PL333-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,10,2,5,6,27,28,12,150,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,333,1,8,2,0,0,10
Yr1EP1SoybeanSys2BL4PL423-1Post Plant,2021,Yr1,8,1,EP1,4,BL4,2,Sys2,423,1,PL423-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,10,2,5,6,27,28,12,150,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,423,1,7,3,0,0,10
Yr1EP1SoybeanSys3BL1PL114-1Post Plant,2021,Yr1,8,1,EP1,1,BL1,3,Sys3,114,1,PL114-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,1,2,28,29,28,29,3,12,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,114,1,1,3,6,0,10
Yr1EP1SoybeanSys3BL2PL214-1Post Plant,2021,Yr1,8,1,EP1,2,BL2,3,Sys3,214,1,PL214-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,1,2,28,29,28,29,3,12,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,214,1,4,6,0,0,10
Yr1EP1SoybeanSys3BL3PL331-1Post Plant,2021,Yr1,8,1,EP1,3,BL3,3,Sys3,331,1,PL331-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,1,2,28,29,28,29,3,12,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,331,1,3,2,5,0,10
Yr1EP1SoybeanSys3BL4PL421-1Post Plant,2021,Yr1,8,1,EP1,4,BL4,3,Sys3,421,1,PL421-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,1,2,28,29,28,29,3,12,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,421,1,6,0,4,0,10
Yr1EP3Alfalfa/OrchardgrassSys4BL1PL133-1Post Plant,2021,Yr1,8,3,EP3,1,BL1,4,Sys4,133,1,PL133-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,0,77,78,77,78,6,102,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/23/2021,6/24/2021,133,1,7,3,0,0,10
Yr1EP3Alfalfa/OrchardgrassSys4BL2PL231-1Post Plant,2021,Yr1,8,3,EP3,2,BL2,4,Sys4,231,1,PL231-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,0,77,78,77,78,6,102,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/23/2021,6/24/2021,231,1,5,5,0,0,10
Yr1EP3Alfalfa/OrchardgrassSys4BL3PL311-1Post Plant,2021,Yr1,8,3,EP3,3,BL3,4,Sys4,311,1,PL311-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,0,77,78,77,78,6,102,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/23/2021,6/24/2021,311,1,7,3,0,0,10
Yr1EP3Alfalfa/OrchardgrassSys4BL4PL411-1Post Plant,2021,Yr1,8,3,EP3,4,BL4,4,Sys4,411,1,PL411-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,0,77,78,77,78,6,102,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/23/2021,6/24/2021,411,1,0,3,7,0,10
Yr1EP3CornSys1BL1PL131-1Post Plant,2021,Yr1,8,3,EP3,1,BL1,1,Sys1,131,1,PL131-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,131,1,10,0,0,0,10
Yr1EP3CornSys1BL2PL233-1Post Plant,2021,Yr1,8,3,EP3,2,BL2,1,Sys1,233,1,PL233-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,233,1,9,1,0,0,10
Yr1EP3CornSys1BL3PL313-1Post Plant,2021,Yr1,8,3,EP3,3,BL3,1,Sys1,313,1,PL313-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,313,1,10,0,0,0,10
Yr1EP3CornSys1BL4PL413-1Post Plant,2021,Yr1,8,3,EP3,4,BL4,1,Sys1,413,1,PL413-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,413,1,9,1,0,0,10
Yr1EP3CornSys2BL1PL132-1Post Plant,2021,Yr1,8,3,EP3,1,BL1,2,Sys2,132,1,PL132-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,shallow,11,2,13,14,16,17,13,153,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,132,1,9,1,0,0,10
Yr1EP3CornSys2BL2PL232-1Post Plant,2021,Yr1,8,3,EP3,2,BL2,2,Sys2,232,1,PL232-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,shallow,11,2,13,14,16,17,13,153,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,232,1,5,4,1,0,10
Yr1EP3CornSys2BL3PL312-1Post Plant,2021,Yr1,8,3,EP3,3,BL3,2,Sys2,312,1,PL312-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,shallow,11,2,13,14,16,17,13,153,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,312,1,4,5,1,0,10
Yr1EP3CornSys2BL4PL412-1Post Plant,2021,Yr1,8,3,EP3,4,BL4,2,Sys2,412,1,PL412-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,shallow,11,2,13,14,16,17,13,153,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,412,1,8,0,2,0,10
Yr1EP3CornSys3BL1PL134-1Post Plant,2021,Yr1,8,3,EP3,1,BL1,3,Sys3,134,1,PL134-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,134,1,9,1,0,0,10
Yr1EP3CornSys3BL2PL234-1Post Plant,2021,Yr1,8,3,EP3,2,BL2,3,Sys3,234,1,PL234-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,234,1,8,2,0,0,10
Yr1EP3CornSys3BL3PL314-1Post Plant,2021,Yr1,8,3,EP3,3,BL3,3,Sys3,314,1,PL314-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,314,1,9,1,0,0,10
Yr1EP3CornSys3BL4PL414-1Post Plant,2021,Yr1,8,3,EP3,4,BL4,3,Sys3,414,1,PL414-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,414,1,8,2,0,0,10
Yr1EP1SoybeanSys1BL1PL111-1Late Summer,2021,Yr1,8,1,EP1,1,BL1,1,Sys1,111,1,PL111-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,13,2,68,69,123,124,15,209,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,111,1,4,3,3,0,10
Yr1EP1SoybeanSys1BL2PL211-1Late Summer,2021,Yr1,8,1,EP1,2,BL2,1,Sys1,211,1,PL211-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,13,2,68,69,123,124,15,209,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,211,1,10,0,0,0,10
Yr1EP1SoybeanSys1BL3PL334-1Late Summer,2021,Yr1,8,1,EP1,3,BL3,1,Sys1,334,1,PL334-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,13,2,68,69,123,124,15,209,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,334,1,9,1,0,0,10
Yr1EP1SoybeanSys1BL4PL424-1Late Summer,2021,Yr1,8,1,EP1,4,BL4,1,Sys1,424,1,PL424-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,13,2,68,69,123,124,15,209,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,424,1,3,2,5,0,10
Yr1EP1SoybeanSys2BL1PL112-1Late Summer,2021,Yr1,8,1,EP1,1,BL1,2,Sys2,112,1,PL112-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,13,2,68,69,123,124,15,210,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,112,1,4,3,3,0,10
Yr1EP1SoybeanSys2BL2PL212-1Late Summer,2021,Yr1,8,1,EP1,2,BL2,2,Sys2,212,1,PL212-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,13,2,68,69,123,124,15,210,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,212,1,6,4,0,0,10
Yr1EP1SoybeanSys2BL3PL333-1Late Summer,2021,Yr1,8,1,EP1,3,BL3,2,Sys2,333,1,PL333-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,13,2,68,69,123,124,15,210,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,333,1,7,3,0,0,10
Yr1EP1SoybeanSys2BL4PL423-1Late Summer,2021,Yr1,8,1,EP1,4,BL4,2,Sys2,423,1,PL423-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,13,2,68,69,123,124,15,210,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,423,1,2,4,4,0,10
Yr1EP1SoybeanSys3BL1PL114-1Late Summer,2021,Yr1,8,1,EP1,1,BL1,3,Sys3,114,1,PL114-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,4,2,68,69,124,125,6,60,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,114,1,0,3,7,0,10
Yr1EP1SoybeanSys3BL2PL214-1Late Summer,2021,Yr1,8,1,EP1,2,BL2,3,Sys3,214,1,PL214-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,4,2,68,69,124,125,6,60,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,214,1,5,1,4,0,10
Yr1EP1SoybeanSys3BL3PL331-1Late Summer,2021,Yr1,8,1,EP1,3,BL3,3,Sys3,331,1,PL331-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,4,2,68,69,124,125,6,60,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,331,1,5,2,3,0,10
Yr1EP1SoybeanSys3BL4PL421-1Late Summer,2021,Yr1,8,1,EP1,4,BL4,3,Sys3,421,1,PL421-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,4,2,68,69,124,125,6,60,Soybean,2,SE2,Late Summer,9/27/2021,9/28/2021,421,1,7,3,0,0,10
Yr1EP3Alfalfa/OrchardgrassSys4BL1PL133-1Late Summer,2021,Yr1,8,3,EP3,1,BL1,4,Sys4,133,1,PL133-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,6,173,174,173,174,12,120,Alfalfa/Orchardgrass,2,SE2,Late Summer,9/27/2021,9/28/2021,133,1,4,5,1,0,10
Yr1EP3Alfalfa/OrchardgrassSys4BL2PL231-1Late Summer,2021,Yr1,8,3,EP3,2,BL2,4,Sys4,231,1,PL231-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,6,173,174,173,174,12,120,Alfalfa/Orchardgrass,2,SE2,Late Summer,9/27/2021,9/28/2021,231,1,3,2,5,0,10
Yr1EP3Alfalfa/OrchardgrassSys4BL3PL311-1Late Summer,2021,Yr1,8,3,EP3,3,BL3,4,Sys4,311,1,PL311-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,6,173,174,173,174,12,120,Alfalfa/Orchardgrass,2,SE2,Late Summer,9/27/2021,9/28/2021,311,1,3,2,5,0,10
Yr1EP3Alfalfa/OrchardgrassSys4BL4PL411-1Late Summer,2021,Yr1,8,3,EP3,4,BL4,4,Sys4,411,1,PL411-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,6,173,174,173,174,12,120,Alfalfa/Orchardgrass,2,SE2,Late Summer,9/27/2021,9/28/2021,411,1,7,1,2,0,10
Yr1EP3CornSys1BL1PL131-1Late Summer,2021,Yr1,8,3,EP3,1,BL1,1,Sys1,131,1,PL131-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,14,2,82,83,112,113,16,216,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,131,1,4,5,1,0,10
Yr1EP3CornSys1BL2PL233-1Late Summer,2021,Yr1,8,3,EP3,2,BL2,1,Sys1,233,1,PL233-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,14,2,82,83,112,113,16,216,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,233,1,7,3,0,0,10
Yr1EP3CornSys1BL3PL313-1Late Summer,2021,Yr1,8,3,EP3,3,BL3,1,Sys1,313,1,PL313-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,14,2,82,83,112,113,16,216,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,313,1,6,3,1,0,10
Yr1EP3CornSys1BL4PL413-1Late Summer,2021,Yr1,8,3,EP3,4,BL4,1,Sys1,413,1,PL413-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,14,2,82,83,112,113,16,216,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,413,1,2,6,2,0,10
Yr1EP3CornSys2BL1PL132-1Late Summer,2021,Yr1,8,3,EP3,1,BL1,2,Sys2,132,1,PL132-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,shallow,13,2,82,83,112,113,15,193,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,132,1,7,2,1,0,10
Yr1EP3CornSys2BL2PL232-1Late Summer,2021,Yr1,8,3,EP3,2,BL2,2,Sys2,232,1,PL232-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,shallow,13,2,82,83,112,113,15,193,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,232,1,7,1,2,0,10
Yr1EP3CornSys2BL3PL312-1Late Summer,2021,Yr1,8,3,EP3,3,BL3,2,Sys2,312,1,PL312-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,shallow,13,2,82,83,112,113,15,193,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,312,1,6,3,1,0,10
Yr1EP3CornSys2BL4PL412-1Late Summer,2021,Yr1,8,3,EP3,4,BL4,2,Sys2,412,1,PL412-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,shallow,13,2,82,83,112,113,15,193,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,412,1,3,5,2,0,10
Yr1EP3CornSys3BL1PL134-1Late Summer,2021,Yr1,8,3,EP3,1,BL1,3,Sys3,134,1,PL134-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,13,2,82,83,112,113,15,198,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,134,1,8,1,1,0,10
Yr1EP3CornSys3BL2PL234-1Late Summer,2021,Yr1,8,3,EP3,2,BL2,3,Sys3,234,1,PL234-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,13,2,82,83,112,113,15,198,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,234,1,6,2,2,0,10
Yr1EP3CornSys3BL3PL314-1Late Summer,2021,Yr1,8,3,EP3,3,BL3,3,Sys3,314,1,PL314-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,13,2,82,83,112,113,15,198,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,314,1,9,2,0,0,11
Yr1EP3CornSys3BL4PL414-1Late Summer,2021,Yr1,8,3,EP3,4,BL4,3,Sys3,414,1,PL414-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,13,2,82,83,112,113,15,198,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,414,1,8,2,0,0,10
Yr2EP2Alfalfa/OrchardgrassSys4BL1PL123-1Post Plant,2022,Yr2,9,2,EP2,1,BL1,4,Sys4,123,1,PL123-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,perennial,5,0,72,73,72,73,5,72,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/24/2022,6/25/2022,123,1,10,0,0,0,10
Yr2EP2Alfalfa/OrchardgrassSys4BL2PL223-1Post Plant,2022,Yr2,9,2,EP2,2,BL2,4,Sys4,223,1,PL223-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,perennial,5,0,72,73,72,73,5,72,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/24/2022,6/25/2022,223,1,1,2,7,0,10
Yr2EP2Alfalfa/OrchardgrassSys4BL3PL321-1Post Plant,2022,Yr2,9,2,EP2,3,BL3,4,Sys4,321,1,PL321-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,perennial,5,0,72,73,72,73,5,72,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/24/2022,6/25/2022,321,1,7,3,0,0,10
Yr2EP2Alfalfa/OrchardgrassSys4BL4PL434-1Post Plant,2022,Yr2,9,2,EP2,4,BL4,4,Sys4,434,1,PL434-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,perennial,5,0,72,73,72,73,5,72,Alfalfa/Orchardgrass,1,SE1,Post Plant,6/24/2022,6/25/2022,434,1,2,8,0,0,10
